Category,Item
Technology,Python Programming
Technology,Machine Learning
Technology,Artificial Intelligence
Technology,Data Science
Technology,Deep Learning
Technology,Computer Vision
Sports,Cricket
Sports,Football
Sports,Badminton
Sports,Tennis
Movies,Inception
Movies,Interstellar
Movies,Avengers Endgame
Movies,The Dark Knight
Books,Atomic Habits
Books,Rich Dad Poor Dad
Books,Deep Work
Books,The Psychology of Money
Music,Pop Music
Music,Classical Music
Music,Rock Music
Music,Lo-fi
Food,Pizza
Food,Burger
Food,Pasta
Food,Biryani
